GPIO pin 	Level 	Dir 	Function
GPIO 0 		0 	I 	00
GPIO 1 		1 	I 	00
GPIO 2 		1 	O 	00
GPIO 3 		1 	O 	00
GPIO 4 		1 	O 	00
GPIO 5 		1 	I 	00
GPIO 6 		1 	I 	00
GPIO 7 		1 	I 	00
GPIO 8 		1 	I 	00
GPIO 9 		0 	I 	00
GPIO 10 	1 	I 	00
GPIO 11 	0 	I 	00
GPIO 12 	1 	I 	00
GPIO 14 	0 	I 	00
GPIO 15 	0 	I 	00
GPIO 17 	1 	O 	00
GPIO 18 	0 	O 	00
GPIO 19 	1 	O 	00
GPIO 20 	1 	O 	00
GPIO 21 	0 	O 	00
GPIO 22 	0 	O 	00
GPIO 27 	0 	I 	00
GPIO 32 	0 	O 	00
GPIO 33 	0 	O 	00
GPIO 34 	1 	I 	00
GPIO 36 	1 	O 	00
GPIO 37 	1 	I 	00
GPIO 38 	0 	O 	00
GPIO 39 	0 	O 	00
GPIO 40 	0 	O 	00
GPIO 49 	0 	O 	00
GPIO 56 	1 	O 	00
GPIO 57 	0 	O 	00
GPIO 78 	0 	O 	00
GPIO 79 	0 	O 	00
GPIO 80 	1 	I 	00
GPIO 82 	0 	O 	00
GPIO 83 	0 	O 	00
GPIO 86 	1 	I 	00
GPIO 87 	0 	I 	00
GPIO 88 	0 	O 	00
GPIO 90 	0 	O 	00
GPIO 91 	1 	O 	00
GPIO 92 	0 	O 	00
GPIO 94 	0 	I 	00
GPIO 95 	0 	O 	00
GPIO 96 	1 	O 	00
GPIO 98 	1 	O 	00
GPIO 99 	1 	I 	00
GPIO106 	0 	O 	00
GPIO107 	1 	I 	00
GPIO109 	0 	O 	00
GPIO110 	0 	O 	00
GPIO111 	0 	O 	00
GPIO112 	0 	O 	00
GPIO113 	1 	O 	00
GPIO114 	1 	O 	00
GPIO115 	0 	I 	00
GPIO116 	0 	O 	00
GPIO119 	0 	O 	00
GPIO120 	0 	O 	00
